mmsi,turnrate,shipLength,heading,course,cargo_type,lon,shipWidth,ship_name,speed,lat,postime,ship_status,callsign,destination,imo
413784368,0.0,0.0,0.0,0.0,,118.29220666666669,0.0,,0.0,31.401768333333333,20241022142922,,,,
413794065,0.0,0.0,511.0,96.7,未知,118.29597333333334,0.0,JIANGYUNCHANGSHENG,4.0,31.302243333333333,20241022142929,,,,
413800823,0.0,0.0,511.0,254.6,未知,118.29605,0.0,,0.0,31.29993333333333,20241022142932,,,SHANGHAI,0.0
413839317,0.0,73.0,511.0,28.5,货轮,118.28126666666668,13.0,,3.3,31.38535,20241022142931,,       ,,
413794195,0.0,0.0,278.0,278.5,,118.31632833333332,0.0,,4.6,31.30365,20241022142922,,,,
413844745,0.0,0.0,511.0,305.6,未知,118.31686666666668,0.0,TIAN SHENG 968,0.0,31.29815,20241022142932,,,,
413815017,0.0,0.0,511.0,356.4,未知,118.34466666666668,0.0,LIU HANG HUO 008,4.0,31.376621666666665,20241022142925,15.0,,,
413812843,0.0,63.0,511.0,349.3,货轮,118.34964833333332,12.0,WANYINGHE9966,4.1,31.32609,20241022142925,15.0,,,0.0
0,0.0,0.0,511.0,355.9,未知,118.349405,0.0,,4.1,31.320271666666667,20241022142926,,,,
413819398,0.0,0.0,172.0,172.5,未知,118.33805,0.0,HONG YUAN 3668,6.9,31.36522833333333,20241022142931,,,,
413806616,0.0,0.0,511.0,0.2,未知,118.34417666666668,0.0,ZHENGTAOZHONGHUA958,4.0,31.37255833333333,20241022142924,,,,
413832645,0.0,0.0,511.0,186.5,未知,118.33967833333334,0.0,MIN CHUAN,4.1,31.382625,20241022142922,,,,
413792458,0.0,49.0,195.0,195.2,货轮,118.34336,9.0,JIANGHAITONG219,5.3,31.311073333333333,20241022142926,5.0,TSTAISB,WUHU,0.0
413849243,0.0,0.0,511.0,219.5,未知,118.34334166666666,0.0,SHUHANG666          ,3.8,31.307703333333333,20241022142930,,,,
413812583,0.0,0.0,511.0,194.5,未知,118.34510166666666,0.0,YUXINHUO11676,3.7,31.311325,20241022142931,0.0,,,
413819754,0.0,55.0,511.0,28.2,货轮,118.34642666666667,10.0,HONGDA9718,5.4,31.30762333333333,20241022142923,,,,0.0
413868587,0.0,130.0,511.0,92.2,货轮,118.32981166666669,16.0,,4.6,31.299376666666667,20241022142932,,0,,
413863413,0.0,67.0,39.0,39.1,货轮,118.3443,11.0,YU YUAN 2699,5.4,31.306283333333333,20241022142932,0.0,,SHANG HAI,0.0
413966016,0.0,63.0,227.0,227.1,货轮,118.33997166666668,13.0,,4.8,31.30499,20241022142925,,0,,
413805755,0.0,56.0,18.0,18.2,货轮,118.32043333333333,10.0,,0.0,31.417465,20241022142925,,0578,,
413845569,0.0,92.0,511.0,198.4,货轮,118.3502,16.0,,0.0,31.41983,20241022142931,,,,
413986146,0.0,0.0,511.0,284.9,,118.32486,0.0,,4.2,31.303283333333333,20241022142924,,,,
413830909,0.0,0.0,206.0,206.7,未知,118.33979,0.0,WANYUHANG7799,4.8,31.482731666666663,20241022142926,,,,
413866948,0.0,62.0,511.0,2.8,货轮,118.34344,12.0,ANHANG69,3.9,31.39003,20241022142925,,,DAFENG,0.0
413820017,0.0,59.0,511.0,3.9,货轮,118.34321333333334,10.0,,7.0,31.361163333333334,20241022142925,,,,
413833533,0.0,0.0,511.0,2.3,未知,118.34397333333334,0.0,MING YANG 6598,3.8,31.36548,20241022142923,,,,
413772348,0.0,60.0,511.0,347.9,货轮,118.34350666666668,11.0,,5.6,31.34912333333333,20241022142924,,0000000,,
413868058,0.0,0.0,511.0,346.5,未知,118.34471666666668,0.0,HANGYUAN1001,4.5,31.347011666666667,20241022142923,,,,
413882436,0.0,105.0,511.0,348.7,货轮,118.34536333333334,16.0,,4.2,31.343646666666668,20241022142924,,1916,,
413825489,0.0,83.0,511.0,360.0,油轮（载有A类危险、有害或污染货物),118.34254,14.0,WANJIANG18,7.5,31.367625,20241022142922,0.0,,ZHENJIANG,0.0
413833403,0.0,0.0,511.0,297.1,未知,118.34618666666668,0.0,HANGDAO11115,2.7,31.36695,20241022142927,,,,
413796641,0.0,57.0,511.0,7.6,货轮,118.34472833333334,9.0,JIA FU 5288,4.0,31.395965,20241022142931,15.0,,,0.0
413830411,0.0,118.0,511.0,191.0,货轮,118.34074666666666,20.0,,4.2,31.39832,20241022142926,,0000000,,
413950903,0.0,0.0,3.0,3.5,未知,118.34342333333332,0.0,WANGUOYANGYE358,4.4,31.39613333333333,20241022142928,,,,
413868611,0.0,0.0,511.0,349.6,未知,118.34645333333332,0.0,YIYOU52,8.6,31.335846666666665,20241022142931,,,,
413806027,0.0,0.0,511.0,347.9,未知,118.34722,0.0,CHANGHANGJINHE306,7.5,31.331011666666665,20241022142924,,,,
413827947,0.0,120.0,511.0,350.7,货轮,118.34568333333333,21.0,JIANGYU31508,4.2,31.34165,20241022142927,,,WUHAN,0.0
413828186,0.0,79.0,511.0,348.1,货轮,118.34606,15.0,GUANGTONG660,4.1,31.340635,20241022142927,,06,TIAN ZHENNG,0.0
413825386,0.0,99.0,511.0,171.5,货轮,118.34526666666666,16.0,YUXINHUO16682,4.8,31.32877333333333,20241022142931,,,NANTONG,0.0
413776668,0.0,119.0,0.0,350.3,货轮,118.34801666666668,21.0,YU XIN HUO 18766,4.3,31.33003,20241022142920,,,WUHAN,0.0
