mmsi,turnrate,shipLength,heading,course,cargo_type,lon,shipWidth,ship_name,speed,lat,postime,ship_status,callsign,destination,imo
312508000,0.0,0.0,78.0,81.8,,118.223225,0.0,,9.9,31.295885,20241022143225,0.0,,,
413792576,0.0,60.0,282.0,282.1,未知,118.30347666666668,10.0,WANSHUNXIN89,5.5,31.306691666666666,20241022143231,0.0,0000000,YANCHENG,0.0
413793855,0.0,88.0,511.0,98.0,货轮,118.29981833333332,16.0,HUAQING 9668,5.3,31.302805,20241022143231,1.0,,TAICANG,0.0
413831272,0.0,0.0,511.0,160.1,未知,118.28772166666668,0.0,ZHENG HANG 99,0.0,31.30054833333333,20241022143222,,,,
413876376,0.0,26.0,511.0,268.8,装备排污设施的船舶,118.30606666666668,6.0,,6.0,31.29855166666667,20241022143223,,,,
413819604,0.0,110.0,511.0,287.1,货轮,118.28291,20.0,HUAXIANG1888,0.0,31.29967,20241022143224,1.0,,NANTONG,0.0
413833139,0.0,0.0,511.0,284.2,未知,118.31118666666669,0.0,YUANTONG102,3.5,31.30477,20241022143230,15.0,,,
413833403,0.0,0.0,511.0,354.2,未知,118.34497333333331,0.0,HANGDAO11115,11.7,31.375496666666667,20241022143228,,,,
413876223,0.0,0.0,511.0,358.2,未知,118.35022666666669,0.0,QIANG SHENG 97,4.8,31.32187,20241022143230,0.0,,,
413994368,0.0,0.0,511.0,225.6,未知,118.35384,0.0,WANXUANCHENGHUO577,6.8,31.324673333333333,20241022143226,,,,
413837622,0.0,0.0,359.0,359.3,未知,118.35065333333333,0.0,ZHONGXIANG5197,5.9,31.32051333333333,20241022143230,,,,
275544000,0.0,89.0,511.0,359.8,货轮,118.34934333333334,12.0,AZURE,4.5,31.319465,20241022143226,5.0,YLSF,,9963023.0
413990696,0.0,0.0,511.0,181.7,,118.31188333333333,0.0,,2.7,31.4319,20241022143229,,,,
413819398,0.0,0.0,171.0,171.6,未知,118.33906666666668,0.0,HONG YUAN 3668,6.9,31.359595,20241022143230,,,,
413880334,0.0,0.0,511.0,360.0,未知,118.34428333333334,0.0,YU XIANG SHENG19928,3.4,31.37130833333333,20241022143231,0.0,,,
413806616,0.0,0.0,511.0,358.0,未知,118.34417,0.0,ZHENGTAOZHONGHUA958,4.0,31.375976666666663,20241022143226,1.0,,,
413850393,0.0,0.0,511.0,89.7,未知,118.33333333333331,0.0,RONGHAI166,0.0,31.372016666666667,20241022143229,,,,
413825489,0.0,83.0,511.0,357.5,油轮（载有A类危险、有害或污染货物),118.34226666666666,14.0,WANJIANG18,7.5,31.3738,20241022143222,,,ZHENJIANG,0.0
413812583,0.0,0.0,511.0,208.7,未知,118.343665,0.0,YUXINHUO11676,3.7,31.30855833333333,20241022143225,0.0,,,
413793957,0.0,119.0,0.0,42.0,货轮,118.34455166666666,20.0,HUA QING 9969,4.5,31.305768333333333,20241022143224,,TSTAISB,NANJING,0.0
413793413,0.0,85.0,0.0,30.9,货轮,118.34637333333332,15.0,,3.8,31.307126666666665,20241022143228,,,,
413977068,0.0,68.0,511.0,13.5,货轮,118.34861333333332,13.0,WAN SHOU XIAN 9,4.1,31.309536666666663,20241022143223,,,TAIZHOU,0.0
413801947,0.0,64.0,511.0,360.0,油轮,118.34266666666667,12.0,BAOHANGYOU298,5.6,31.308516666666662,20241022143225,0.0,,NANCHANG,0.0
0,0.0,0.0,511.0,0.0,未知,118.35234833333334,0.0,,0.0,31.30256333333333,20241022143223,,,,
413879679,0.0,88.0,511.0,53.8,货轮,118.34022666666668,16.0,,4.4,31.30131,20241022143227,,,,
413779346,0.0,99.0,254.0,254.7,货轮,118.33483333333334,16.0,WANMAHUO6888,5.0,31.303161666666668,20241022143223,,0,262,0.0
413769592,0.0,68.0,0.0,40.6,货轮,118.32207666666666,12.0,WANSHUNXIN3288,0.0,31.41582333333333,20241022143225,0.0,3288,36,0.0
413843054,0.0,68.0,0.0,85.6,货轮,118.33313833333334,14.0,HANG LONG JI 888,4.2,31.298526666666667,20241022143227,0.0,,JINGZHOU,0.0
413972187,0.0,68.0,0.0,0.0,货轮,118.34333333333332,13.0,,5.0,31.38949833333333,20241022143225,,5098,,
413876735,0.0,67.0,511.0,357.0,货轮,118.34326666666666,11.0,WANYINGHE1266,4.2,31.387766666666668,20241022143227,,1266,TONGLING,0.0
413866948,0.0,62.0,511.0,7.1,货轮,118.34385333333331,12.0,ANHANG69,3.9,31.39331333333333,20241022143228,,,DAFENG,0.0
413774873,0.0,0.0,352.0,352.3,未知,118.34342,0.0,JIANGHANG69,4.3,31.352811666666668,20241022143223,,,,
413817592,0.0,76.0,159.0,159.3,货轮,118.339835,13.0,,7.0,31.344501666666662,20241022143231,,0000000,,
413835013,0.0,110.0,174.0,174.0,货轮,118.34041333333332,17.0,,6.4,31.350011666666667,20241022143229,,16HAO,,
